What is your NETID?,What gender do you identify with?,What is your ethnicity?,Are you a <Department> major or considering one?,What is your class year?,During what time blocks do you have classes or obligations?,How did you feel about <Prereq>?,How would you describe your teamwork or working style?,How would you describe your leadership style?,Check off your hobbies or other activities you enjoy!
1,Male,Mixed white and black African ,Yes,22,10;11;12,It was alright,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I like to actively participate in group work and planning,Sports
2,Female,White or Caucasian,Undecided,22,10;11;12,No opinion,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I enjoy taking charge of projects and group work,Sports;Music;Reading
3,Female,White or Caucasian,Yes,22,9L;10;11,It was alright,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I enjoy taking charge of projects and group work,Sports;Art;Reading;Writing
4,Male,Hispanic or Latino,Undecided,22,10;11;12,It was tough  but I managed,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports;Music;Reading
5,Male,Asian or Pacific Islander,No,22,10;11;12,It was tough  but I managed,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Art;Music;Reading
6,Female,White or Caucasian,No,22,9L;11;12;6A;6B,It was alright,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I enjoy taking charge of projects and group work,Sports;Music;Hiking;Reading;Writing
7,Female,Prefer not to say,Undecided,22,9L;10;10A;2,It was brutal,Creative: I like to see things from many angles. I don t rush to a solution. If we have to take a step back and approach a problem from a new direction that s OK with me.,I like to actively participate in group work and planning,Music;Reading;Writing
8,Female,White or Caucasian,Undecided,22,10A;11,It was brutal,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I enjoy taking charge of projects and group work,Sports;Music;Reading
9,Female,Asian or Pacific Islander,No,21,9L;10;12,It was alright,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I prefer to hang back and observe in group settings,Sports;Music;Reading
10,Male,White or Caucasian,Undecided,22,10;12;2;3A;3B;6A,It was alright,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I like to actively participate in group work and planning,Sports;Music;Hiking
11,Male,Asian or Pacific Islander,Undecided,22,10;11;12,No opinion,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I like to actively participate in group work and planning,Sports;Art;Music;Hiking;Reading
12,Male,Asian or Pacific Islander,No,22,9L;10;10A,It was tough  but I managed,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I like to actively participate in group work and planning,Sports;Art;Cooking;Music
13,Male,White or Caucasian,Undecided,21,10;11;12;2,Breezed through it,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports;Cooking;Hiking
14,Male,Asian or Pacific Islander,Yes,22,10;12;2A,Breezed through it,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I enjoy taking charge of projects and group work,Sports;Art;Cooking;Music;Hiking;Reading
15,Male,White or Caucasian,Yes,22,10;11;2,It was tough  but I managed,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I enjoy taking charge of projects and group work,Sports;Music
16,Female,White or Caucasian,Yes,22,10;11;2,It was tough  but I managed,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports;Music
17,Female,Asian or Pacific Islander,No,22,10;10A;11;2A;3A;6A;6B,It was tough  but I managed,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I prefer to hang back and observe in group settings,Art;Hiking;Reading
18,Male,White or Caucasian,Yes,22,10;10A;2;2A;3A,Breezed through it,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports;Music;Hiking;Reading
19,Male,Prefer not to say,No,21,10;10A;12,It was alright,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I like to actively participate in group work and planning,Sports;Music
20,Female,White or Caucasian,No,21,10;11;12,It was brutal,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports
21,Female,White or Caucasian,No,22,10;10A;2A,It was brutal,Creative: I like to see things from many angles. I don t rush to a solution. If we have to take a step back and approach a problem from a new direction that s OK with me.,I like to actively participate in group work and planning,Sports;Art;Music;Hiking;Reading
22,Female,White or Caucasian,Undecided,22,10;10A;12;2;2A;3B,It was alright,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports;Hiking;Reading;Writing
23,Female,White or Caucasian,No,22,9L;10;11,It was tough  but I managed,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I enjoy taking charge of projects and group work,Sports;Music;Hiking
24,Female,White or Caucasian,No,22,9L;10;10A,It was tough  but I managed,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I enjoy taking charge of projects and group work,Cooking;Music;Reading
25,Female,White or Caucasian,No,22,10;10A;11;12;2;2A,No opinion,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I like to actively participate in group work and planning,Sports
26,Female,White or Caucasian,No,22,9L;10;10A,It was alright,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I like to actively participate in group work and planning,Art;Cooking;Music;Reading
27,Female,Hispanic or Latino,No,21,10;10A;2A;3A;3B;6A;6B,It was tough  but I managed,Creative: I like to see things from many angles. I don t rush to a solution. If we have to take a step back and approach a problem from a new direction that s OK with me.,I like to actively participate in group work and planning,Sports
28,Male,Black or African American,No,22,10;11;12,It was tough  but I managed,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I prefer to hang back and observe in group settings,Sports;Music
29,Female,White or Caucasian,Undecided,22,10;2;2A,Breezed through it,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports;Cooking;Music;Hiking;Reading
30,Female,White or Caucasian,Yes,22,10;11;2,It was alright,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I enjoy taking charge of projects and group work,Sports;Cooking;Hiking;Reading
31,Female,multiracial,No,22,10;10A;11,It was alright,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I prefer to hang back and observe in group settings,Art;Music;Reading;Writing
32,Male,White or Caucasian,No,22,10;10A;2A,No opinion,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I enjoy taking charge of projects and group work,Sports;Music;Hiking;Reading;Writing
33,Female,White or Caucasian,Undecided,22,10A;11;2,It was tough  but I managed,Creative: I like to see things from many angles. I don t rush to a solution. If we have to take a step back and approach a problem from a new direction that s OK with me.,I enjoy taking charge of projects and group work,Sports;Music;Hiking;Reading;Writing
34,Female,White or Caucasian,No,22,10;11;2A,It was tough  but I managed,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I enjoy taking charge of projects and group work,Sports;Cooking;Hiking;Reading
35,Female,White or Caucasian,No,21,10;10A;11,It was alright,Analytical: I like to get as much information as possible before making a decision. Information not emotion is the key to getting things done. When I m ready to speak it s because I have the information I need to respond.,I like to actively participate in group work and planning,Sports
36,Female,White or Caucasian,Undecided,22,10;10A;11,It was tough  but I managed,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I like to actively participate in group work and planning,Sports;Cooking;Music;Hiking
37,Female,White or Caucasian,Undecided,22,10;10A;11;12,It was alright,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I like to actively participate in group work and planning,Cooking;Hiking
38,Female,White or Caucasian,No,20,9L;10;2;2A;3A;3B;6A;6B,It was alright,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I like to actively participate in group work and planning,Sports;Art;Hiking
39,Female,White or Caucasian,Undecided,22,10A;12;2,No opinion,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I enjoy taking charge of projects and group work,Sports;Cooking;Hiking;Reading;Writing
40,Male,Black or African American,Yes,22,10;11,It was alright,Driver: I like to get things done. I don t get caught up in the details. When people get off track or deliberate too much that can frustrate me. I like to make a decision and see it to the end.,I prefer to hang back and observe in group settings,Music;Reading;Sleeping
41,Male,Black or African American,Undecided,21,10;10A;11;3B,Breezed through it,Collaborative: I like to help people get things done. If there is a conflict on a team I like to help people work it out. I like to mediate and facilitate conversations.,I like to actively participate in group work and planning,Sports;Music;Reading
